Year;Sales of beer;Sales of beer mixed with other beverages;Beer sales on which tax was paid;Tax-exempt beer sales;Tax-exempt beer sales to EU countries;Tax-exempt beer sales to third countries;Tax-exempt beer provided free to brewery employees;Breweries in operation;Consumption of beer
1993;112141334;-;105207104;6934230;3847304;2711473;375452;1311;100785345
1994;115660265;.;107356274;8303991;4289903;3672039;342048;1299;108006115
1995;115252060;.;106345563;8906496;4696448;3882945;327102;1282;107091697
1996;112806908;.;103506368;9300540;5128537;3870892;301110;1276;104290568
1997;112669814;.;103146796;9523018;5832665;3404024;286328;1273;103940973
1998;109384583;-;100180257;9204326;6132418;2797534;274374;1285;100908193
1999;110148097;1429533;100415120;9732977;6840331;2634285;258361;1281;101066743
2000;109795609;1895105;98799048;10996561;7911066;2841229;244266;1280;99477050
2001;107814758;2253733;96736242;11078516;8270980;2571330;236206;1299;97420634
2002;107767840;2921002;96480757;11287083;8120219;2936528;230336;1289;97167133
2003;105568280;2752250;93254447;12313833;9009669;3084040;220124;1275;94028494
2004;105864017;2585946;91962735;13901282;10828711;2856960;215611;1281;92396601
2005;105368998;2985448;91277109;14091890;10994773;2884923;212194;1281;91526701
2006;106839063;3515329;91867369;14971695;11648729;3126598;196367;1289;92122682
2007;103969397;4154971;88503564;15465833;11817854;3457700;190280;1306;88747520
2008;102910763;4200209;87735031;15175732;11675279;3315852;184601;1328;87926465
2009;99979201;4075195;85889056;14090144;10749091;3164720;176333;1331;86087727
2010;98350734;3967715;83431001;14919733;11028513;3725289;165930;1333;83619950
2011;98293273;3836189;82759820;15533453;11248396;4126977;158081;1347;83015185
2012;96531972;4315453;81023930;15508042;11033069;4324032;150942;1341;81245431
2013;94645879;4236569;79717489;14928390;10079292;4701989;147110;1352;79930195
2014;95666724;4147606;80065926;15600797;10135661;5312992;152144;1359;80280922
2015;95771994;4032264;79533843;16238152;9889925;6206823;141404;1392;79706441
2016;95879991;4010879;79052584;16827407;9893799;6796338;137270;1411;79260218
2017;93547200;3966901;77242767;16304433;9656063;6520007;128362;1500;77433176
2018;94008257;4438695;77738234;16270023;9371969;6766886;131168;1542;77921117
2019;92194789;4502319;76114976;16079813;8959956;6995043;124814;1552;76314193
2020;87167679;4376164;72013656;15154024;7781104;7253768;119151;1536;72237967
2021;85318194;4415181;69564541;15753653;7468793;8168227;116633;1521;69756540
2022;87644428;4435968;72322209;15322219;8050666;7158915;112637;1507;72511049
