Year;Arrivals Male;Arrivals Female;Total
2000;461836;322018;783854
2001;487195;343712;830907
2002;466988;339657;806645
2003;429869;314978;744847
2004;430185;309235;739420
2005;412617;295554;708171
2006;403683;279663;683346
2007;413786;287565;701351
2008;416403;287840;704243
2009;432763;302957;735720
2010;481161;329270;810431
2011;591362;388482;979844
2012;674648;441450;1116098
2013;770283;503991;1274274
2014;933852;600203;1534055
2015;1439762;802603;2242365
2016;1240005;754257;1994262
2017;982619;632356;1614975
2018;991626;632267;1623893
2019;978755;626293;1605048
2020;752885;482868;1235753

